productCode,productName,nonNabhNablRate,nabhNablRate,state
1,Consultation OPD,350,350,DELHI
2,Consultation- for Inpatients,350,350,DELHI
3,Dressings of wounds,50,58,DELHI
4,Suturing of wounds with local anaesthesia,108,124,DELHI
5,Aspiration Plural Effusion - Diagnostic,120,138,DELHI
6,Aspiration Plural Effusion - Therapeutic,193,222,DELHI
7,Abdominal Aspiration - Diagnostic,345,397,DELHI
8,Abdominal Aspiration - Therapeutic,460,529,DELHI
9,Pericardial Aspiration,380,437,DELHI
10,Joints Aspiration,317,365,DELHI
11,Biopsy Skin,230,265,DELHI
12,Removal of Stitches,36,41,DELHI
13,Venesection,124,143,DELHI
14,Phimosis Under LA,1311,1508,DELHI
15,Sternal puncture,173,199,DELHI
16,Injection for Haemorrhoids,414,476,DELHI
17,Injection for Varicose Veins,350,403,DELHI
18,Urinary bladder Catheterisation,425,500,DELHI
19,Dilatation of Urethra,500,575,DELHI
20,Incision & Drainage,420,483,DELHI
21,Intercostal Drainage,125,144,DELHI
22,Peritoneal Dialysis,1466,1686,DELHI
23,Excision of Moles,345,397,DELHI
24,Excision of Warts,310,357,DELHI
25,Excision of Molluscum contagiosum,130,150,DELHI
26,Excision of Venereal Warts,160,184,DELHI
27,Excision of Corns,140,161,DELHI
28,"Intradermal (ID) Injection Keloid (Intralesional Injection)",97,112,DELHI
29,Chemical Cautery (s),110,127,DELHI
30,Subconjunctival/subtenon’s injections in one eye,69,79,DELHI
31,Subconjunctival/subtenon’s injections in both eyes,138,158,DELHI
32,Pterygium Surgery,5500,6325,DELHI
33,Conjunctival Peritomy,58,67,DELHI
34,"Conjunctival wound repair or exploration following blunt trauma",3300,3795,DELHI
35,Removal of corneal foreign body,115,132,DELHI
36,Cauterization of ulcer/subconjunctival injection in one eye,69,79,DELHI
37,Cauterization of ulcer/subconjunctival injection in both eyes,138,159,DELHI
38,Corneal grafting—Penetrating keratoplasty,5750,6613,DELHI
39,Corneal grafting—Lamellar keratoplasty,5000,5750,DELHI
40,Cyanoacrylate /fibrin glue application for corneal perforation,690,794,DELHI
41,Bandage contact lenses for corneal perforation,460,529,DELHI
42,Scleral grafting or conjunctival flap for corneal perforation,2300,2645,DELHI
43,"Keratoconus correction with therapeutic contact lenses",1200,1380,DELHI
44,"Ultraviolet (UV) radiation for cross-linking for keratoconus",1800,2070,DELHI
45,EDTA for band shaped keratopathy,863,992,DELHI
46,Arcuate keratotomy for astigmatism,2800,3220,DELHI
47,Re-suturing (Primary suturing) of corneal wound,1150,1323,DELHI
